Flight No.,Launch site,Date,Time,Version Booster,Payload,Payload mass,Orbit,Customer,Launch outcome,Booster landing
418,Cape Canaveral,"January 4, 2025",01:27,F9B5,Thuraya 4-NGS,"5,000 kg",GTO,Thuraya,Success,Success (
419,Cape Canaveral,"January 6, 2025",20:43,F9B5,Starlink,"~17,500 kg",LEO,SpaceX,Success,Success (
420,Kennedy,"January 8, 2025",15:27,F9B5,Starlink,"~16,500 kg",LEO,SpaceX,Success,Success (
421,Vandenberg,"January 10, 2025",03:53,F9B5,Starshield,U,LEO,NRO,Success,Success (
422,Cape Canaveral,"January 10, 2025",19:11,F9B5,Starlink,"~16,500 kg",LEO,SpaceX,Success,Success (
423,Cape Canaveral,"January 13, 2025",16:47,F9B5,Starlink,"~16,500 kg",LEO,SpaceX,Success,Success (
424,Vandenberg,"January 14, 2025",19:09,F9B5,Transporter-12,"2,000 kg",SSO,Various,Success,Success (
425,Kennedy,"January 15, 2025",06:11,F9B5,Blue Ghost Mission 1,"2,517 kg",TLI,Firefly Aerospace,Success,Success (
426,Kennedy,"January 21, 2025",05:24,F9B5,Starlink,"~15,300 kg",LEO,SpaceX,Success,Success (
427,Vandenberg,"January 21, 2025",15:45,F9B5,Starlink,"~15,500 kg",LEO,SpaceX,Success,Success (
428,Vandenberg,"January 24, 2025",14:07,F9B5,Starlink,"~17,100 kg",LEO,SpaceX,Success,Success (
429,Cape Canaveral,"January 27, 2025",22:05,F9B5,Starlink,"~16,500 kg",LEO,SpaceX,Success,Success (
430,Kennedy,"January 30, 2025",01:34,F9B5,Spainsat NG,"6,100 kg",GTO,Hisdesat,Success,No attempt
431,Vandenberg,"February 1, 2025",23:02,F9B5,Starlink,"~16,700 kg",LEO,SpaceX,Success,Success (
432,Cape Canaveral,"February 4, 2025",10:15,F9B5,Starlink,"~16,500 kg",LEO,SpaceX,Success,Success (
433,Kennedy,"February 4, 2025",23:13,F9B5,WorldView Legion,"1,500 kg",LEO,Maxar Technologies,Success,Success (
434,Cape Canaveral,"February 8, 2025",19:18,F9B5,Starlink,"~16,500 kg",LEO,SpaceX,Success,Success (
435,Vandenberg,"February 11, 2025",02:09,F9B5,Starlink,"~17,100 kg",LEO,SpaceX,Success,Success (
436,Cape Canaveral,"February 11, 2025",18:53,F9B5,Starlink,"~16,500 kg",LEO,SpaceX,Success,Success (
437,Cape Canaveral,"February 15, 2025",06:14,F9B5B1067,Starlink,"~16,500 kg",LEO,SpaceX,Success,Success (
438,Cape Canaveral,"February 18, 2025",23:21,F9B5,Starlink,"~17,100 kg",LEO,SpaceX,Success,Success (
439,Cape Canaveral,"February 21, 2025",15:19,F9B5,Starlink,"~17,100 kg",LEO,SpaceX,Success,Success (
440,Vandenberg,"February 23, 2025",01:38,F9B5,Starlink,"~16,800 kg",LEO,SpaceX,Success,Success (
441,Kennedy,"February 27, 2025",00:16,F9B5,IM-2,U,TLI,NASA,Success,Success (
442,Cape Canaveral,"February 27, 2025",03:34,F9B5‑[,Starlink,"~16,500 kg",LEO,SpaceX,Success,Success (
443,Cape Canaveral,"March 3, 2025",02:24,F9B5,Starlink,"~16,500 kg",LEO,SpaceX,Success,Failure (
444,Vandenberg,"March 12, 2025",03:10,F9B5,SPHEREx,758 kg,SSO,NASA,Success,Success (
445,Cape Canaveral,"March 13, 2025",02:35,F9B5,Starlink,"~16,500 kg",LEO,SpaceX,Success,Success (
446,Kennedy,"March 14, 2025",23:03,F9B5,Crew-10,"~13,000 kg",LEO,NASA,Success,Success (
447,Vandenberg,"March 15, 2025",06:43,F9B5,Transporter-13,U,SSO,Various,Success,Success (
448,Cape Canaveral,"March 15, 2025",11:35,F9B5,Starlink,"~17,100 kg",LEO,SpaceX,Success,Success (
449,Cape Canaveral,"March 18, 2025",19:57,F9B5,Starlink,"~17,100 kg",LEO,SpaceX,Success,Success (
450,Vandenberg,"March 21, 2025",06:49,F9B5,NROL-57,U,LEO,NRO,Success,Success (
451,Cape Canaveral,"March 24, 2025",17:48,F9B5,NROL-69,U,LEO,USSF,Success,Success (
452,Vandenberg,"March 26, 2025",22:11,F9B5,Starlink,"~15,500 kg",LEO,SpaceX,Success,Success (
453,Cape Canaveral,"March 31, 2025",19:52,F9B5,Starlink,"~16,100 kg",LEO,SpaceX,Success,Success (
454,Kennedy,"April 1, 2025",01:46,F9B5,Fram2,"~13,000 kg",Polar,Chun Wang,Success,Success (
455,Vandenberg,"April 4, 2025",01:02,F9B5,Starlink,"~15,500 kg",LEO,SpaceX,Success,Success (
456,Cape Canaveral,"April 6, 2025",03:07,F9B5,Starlink,"~16,100 kg",LEO,SpaceX,Success,Success (
457,Vandenberg,"April 7, 2025",23:06,F9B5,Starlink,"~15,500 kg",LEO,SpaceX,Success,Success (
458,Vandenberg,"April 12, 2025",12:25,F9B5,NROL-192,U,LEO,NRO,Success,Success (
459,Kennedy,"April 13, 2025",00:53,F9B5,Starlink,"~16,500 kg",LEO,SpaceX,Success,Success (
460,Cape Canaveral,"April 14, 2025",04:00,F9B5,Starlink,"~15,500 kg",LEO,SpaceX,Success,Success (
461,Vandenberg,"April 20, 2025",12:29,F9B5,NROL-145,U,LEO,NRO,Success,Success (
462,Kennedy,"April 21, 2025",08:15,F9B5B1092,SpaceX CRS-32,"3,021 kg",LEO,NASA,Success,Success (
463,Cape Canaveral,"April 22, 2025",00:48,F9B5,Bandwagon-3,U,LEO,Republic of Korea Armed Forces,Success,Success (
464,Cape Canaveral,"April 25, 2025",01:52,F9B5,Starlink,"~16,100 kg",LEO,SpaceX,Success,Success (
465,Cape Canaveral,"April 28, 2025",02:09,F9B5,Starlink,"~17,100 kg",LEO,SpaceX,Success,Success (
466,Vandenberg,"April 28, 2025",20:42,F9B5,Starlink,"~15,500 kg",LEO,SpaceX,Success,Success (
467,Kennedy,"April 29, 2025",02:34,F9B5,Starlink,"~17,100 kg",LEO,SpaceX,Success,Success (
468,Cape Canaveral,"May 2, 2025",01:51,F9B5,Starlink,"~16,100 kg",LEO,SpaceX,Success,Success (
469,Kennedy,"May 4, 2025",08:54,F9B5,Starlink,"~16,675 kg",LEO,SpaceX,Success,Success (
470,Cape Canaveral,"May 7, 2025",01:17,F9B5,Starlink,"~16,100 kg",LEO,SpaceX,Success,Success (
471,Vandenberg,"May 10, 2025",00:19,F9B5,Starlink,"~14,950 kg",LEO,SpaceX,Success,Success (
472,Cape Canaveral,"May 10, 2025",06:28,F9B5,Starlink,"~16,100 kg",LEO,SpaceX,Success,Success (
473,Vandenberg,"May 13, 2025",01:15,F9B5,Starlink,"~14,950 kg",LEO,SpaceX,Success,Success (
474,Kennedy,"May 13, 2025",05:02,F9B5,Starlink,"~16,100 kg",LEO,SpaceX,Success,Success (
475,Cape Canaveral,"May 14, 2025",16:38,F9B5,Starlink,"~16,100 kg",LEO,SpaceX,Success,Success (
476,Vandenberg,"May 16, 2025",13:43,F9B5,Starlink,"~14,950 kg",LEO,SpaceX,Success,Success (
477,Cape Canaveral,"May 21, 2025",03:19,F9B5,Starlink,"~17,100 kg",LEO,SpaceX,Success,Success (
478,Vandenberg,"May 23, 2025",22:32,F9B5,Starlink,"~15,500 kg",LEO,SpaceX,Success,Success (
479,Cape Canaveral,"May 24, 2025",17:19,F9B5,Starlink,"~17,100 kg",LEO,SpaceX,Success,Success (
480,Vandenberg,"May 27, 2025",16:57,F9B5,Starlink,"~17,500 kg",SSO,SpaceX,Success,Success (
481,Kennedy,"May 28, 2025",13:30,F9B5,Starlink,"~15,500 kg",LEO,SpaceX,Success,Success (
482,Cape Canaveral,"May 30, 2025",17:37,F9B5,GPS III,"4,350 kg",MEO,USSF,Success,Success (
483,Vandenberg,"May 31, 2025",20:10,F9B5,Starlink,"~15,500 kg",LEO,SpaceX,Success,Success (
484,Cape Canaveral,"June 3, 2025",04:43,F9B5,Starlink,"~17,100 kg",LEO,SpaceX,Success,Success (
485,Vandenberg,"June 4, 2025",23:40,F9B5,Starlink,"~15,500 kg",LEO,SpaceX,Success,Success (
486,Cape Canaveral,"June 7, 2025",04:54,F9B5,SXM-10,"6,400 kg",GTO,SiriusXM,Success,Success (
487,Vandenberg,"June 8, 2025",14:20,F9B5,Starlink,"~14,950 kg",LEO,SpaceX,Success,Success (
488,Cape Canaveral,"June 10, 2025",13:05,F9B5,Starlink,"~17,100 kg",LEO,SpaceX,Success,Success (
489,Vandenberg,"June 13, 2025",01:54,F9B5,Starlink,"~14,950 kg",LEO,SpaceX,Success,Success (
490,Cape Canaveral,"June 13, 2025",15:29,F9B5,Starlink,"~17,100 kg",LEO,SpaceX,Success,Success (
491,Vandenberg,"June 17, 2025",03:36,F9B5,Starlink,"~14,950 kg",LEO,SpaceX,Success,Success (
492,Cape Canaveral,"June 18, 2025",05:55,F9B5,Starlink,"~16,100 kg",LEO,SpaceX,Success,Success (
493,Cape Canaveral,"June 23, 2025",05:58,F9B5,Starlink,"~15,500 kg",LEO,SpaceX,Success,Success (
494,Vandenberg,"June 23, 2025",21:25,F9B5,Transporter-14,U,SSO,Various,Success,Success (
495,Kennedy,"June 25, 2025",06:31,F9B5,Axiom Mission 4,"~13,000 kg",LEO,Axiom Space,Success,Success (
496,Cape Canaveral,"June 25, 2025",19:54,F9B5,Starlink,"~15,500 kg",LEO,SpaceX,Success,Success (
497,Cape Canaveral,"June 28, 2025",04:26,F9B5,Starlink,"~15,500 kg",LEO,SpaceX,Success,Success (
498,Vandenberg,"June 28, 2025",17:13,F9B5,Starlink,"~14,950 kg",LEO,SpaceX,Success,Success (
499,Kennedy,"July 1, 2025",21:04,F9B5,MTG-S1,"3,800 kg",GTO,EUMETSAT,Success,Success (
500,Cape Canaveral,"July 2, 2025",06:28,F9B5,Starlink,"~15,500 kg",LEO,SpaceX,Success,Success (
501,Cape Canaveral,"July 8, 2025",08:21,F9B5,Starlink,"~16,100 kg",LEO,SpaceX,Success,Success (
502,Cape Canaveral,"July 13, 2025",05:04,F9B5,Dror-1,"4,000 kg",GTO,IAI,Success,Success (
503,Vandenberg,"July 16, 2025",02:05,F9B5,Starlink,"~14,950 kg",LEO,SpaceX,Success,Success (
504,Cape Canaveral,"July 16, 2025",06:30,F9B5,KuiperSat,"~14,784 kg",LEO,Amazon,Success,Success (
505,Vandenberg,"July 19, 2025",03:52,F9B5,Starlink,"~17,500 kg",SSO,SpaceX,Success,Success (
506,Cape Canaveral,"July 22, 2025",21:12,F9B5,O3b mPOWER,"3,400 kg",MEO,SES,Success,Success (
507,Vandenberg,"July 23, 2025",18:13,F9B5,TRACERS,~920 kg,SSO,NASA,Success,Success (
508,Cape Canaveral,"July 26, 2025",09:01,F9B5,Starlink,"~16,100 kg",LEO,SpaceX,Success,Success (
509,Vandenberg,"July 27, 2025",04:31,F9B5,Starlink,"~17,500 kg",SSO,SpaceX,Success,Success (
510,Cape Canaveral,"July 30, 2025",03:37,F9B5,Starlink,"~16,100 kg",LEO,SpaceX,Success,Success (
511,Vandenberg,"July 31, 2025",18:35,F9B5,Starlink,"~14,060 kg",SSO,SpaceX,Success,Success (
512,Kennedy,"August 1, 2025",15:43,F9B5,Crew-11,"~13,000 kg",LEO,NASA,Success,Success (
513,Cape Canaveral,"August 4, 2025",07:57,F9B5,Starlink,"~16,100 kg",LEO,SpaceX,Success,Success (
514,Cape Canaveral,"August 11, 2025",12:35,F9B5,KuiperSat,"~14,784 kg",LEO,Amazon,Success,Success (
515,Vandenberg,"August 14, 2025",05:05,F9B5,Starlink,"~17,500 kg",SSO,SpaceX,Success,Success (
516,Cape Canaveral,"August 14, 2025",12:29,F9B5,Starlink,"~16,100 kg",LEO,SpaceX,Success,Success (
517,Vandenberg,"August 18, 2025",16:26,F9B5,Starlink,"~17,500 kg",SSO,SpaceX,Success,Success (
518,Kennedy,"August 22, 2025",03:50,F9B5‑[,USSF-36,"~4,990 kg",LEO,USSF,Success,Success (
519,Vandenberg,"August 22, 2025",17:04,F9B5,Starlink,"~17,500 kg",SSO,SpaceX,Success,Success (
520,Cape Canaveral,"August 24, 2025",06:45,F9B5,SpaceX CRS-33,"2,300 kg",LEO,NASA,Success,Success (
521,Vandenberg,"August 26, 2025",18:53,F9B5,NAOS,"~1,370 kg",SSO,Luxembourg Armed Forces,Success,Success (
522,Cape Canaveral,"August 27, 2025",11:10,F9B5,Starlink,"~16,100 kg",LEO,SpaceX,Success,Success (
523,Kennedy,"August 28, 2025",08:12,F9B5,Starlink,"~16,100 kg",LEO,SpaceX,Success,Success (
524,Vandenberg,"August 30, 2025",04:59,F9B5,Starlink,"~17,500 kg",SSO,SpaceX,Success,Success (
525,Cape Canaveral,"August 31, 2025",11:49,F9B5,Starlink,"~16,100 kg",LEO,SpaceX,Success,Success (
526,Vandenberg,"September 3, 2025",03:51,F9B5,Starlink,"~17,500 kg",SSO,SpaceX,Success,Success (
527,Cape Canaveral,"September 3, 2025",11:56,F9B5,Starlink,"~16,100 kg",LEO,SpaceX,Success,Success (
528,Kennedy,"September 5, 2025",12:32,F9B5,Starlink,"~16,100 kg",LEO,SpaceX,Success,Success (
529,Vandenberg,"September 6, 2025",18:06,F9B5,Starlink,"~17,500 kg",SSO,SpaceX,Success,Success (
530,Vandenberg,"September 10, 2025",14:12,F9B5,SDA Tranche 1 Transport Layer B,U,Polar,SDA,Success,Success (
